stage,dataset,group,contamination,expected_json,json_exists,status,json_error,ranked_csv_exists,top_csv_exists,device_csv_exists,ranked_csv,top_csv,device_csv
agg_kkt_level,agg_kkt_47_11,all_numeric,0.01,agg__agg_kkt_47_11_all_numeric_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,all_numeric,0.03,agg__agg_kkt_47_11_all_numeric_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,all_numeric,0.05,agg__agg_kkt_47_11_all_numeric_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,turnover,0.01,agg__agg_kkt_47_11_turnover_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,turnover,0.03,agg__agg_kkt_47_11_turnover_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,turnover,0.05,agg__agg_kkt_47_11_turnover_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,bills,0.01,agg__agg_kkt_47_11_bills_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,bills,0.03,agg__agg_kkt_47_11_bills_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,bills,0.05,agg__agg_kkt_47_11_bills_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,items_price,0.01,agg__agg_kkt_47_11_items_price_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,items_price,0.03,agg__agg_kkt_47_11_items_price_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,items_price,0.05,agg__agg_kkt_47_11_items_price_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,payment_mix,0.01,agg__agg_kkt_47_11_payment_mix_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,payment_mix,0.03,agg__agg_kkt_47_11_payment_mix_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,payment_mix,0.05,agg__agg_kkt_47_11_payment_mix_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,temporal,0.01,agg__agg_kkt_47_11_temporal_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,temporal,0.03,agg__agg_kkt_47_11_temporal_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,temporal,0.05,agg__agg_kkt_47_11_temporal_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,benford,0.01,agg__agg_kkt_47_11_benford_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,benford,0.03,agg__agg_kkt_47_11_benford_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,benford,0.05,agg__agg_kkt_47_11_benford_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,cross_corr,0.01,agg__agg_kkt_47_11_cross_corr_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,cross_corr,0.03,agg__agg_kkt_47_11_cross_corr_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,cross_corr,0.05,agg__agg_kkt_47_11_cross_corr_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,shape_complexity,0.01,agg__agg_kkt_47_11_shape_complexity_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,shape_complexity,0.03,agg__agg_kkt_47_11_shape_complexity_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,shape_complexity,0.05,agg__agg_kkt_47_11_shape_complexity_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_11,non_temporal,0.01,agg__agg_kkt_47_11_non_temporal_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,non_temporal,0.03,agg__agg_kkt_47_11_non_temporal_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,non_temporal,0.05,agg__agg_kkt_47_11_non_temporal_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,simple_core,0.01,agg__agg_kkt_47_11_simple_core_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,simple_core,0.03,agg__agg_kkt_47_11_simple_core_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_11,simple_core,0.05,agg__agg_kkt_47_11_simple_core_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,all_numeric,0.01,agg__agg_kkt_47_19_all_numeric_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,all_numeric,0.03,agg__agg_kkt_47_19_all_numeric_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,all_numeric,0.05,agg__agg_kkt_47_19_all_numeric_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,turnover,0.01,agg__agg_kkt_47_19_turnover_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,turnover,0.03,agg__agg_kkt_47_19_turnover_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,turnover,0.05,agg__agg_kkt_47_19_turnover_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,bills,0.01,agg__agg_kkt_47_19_bills_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,bills,0.03,agg__agg_kkt_47_19_bills_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,bills,0.05,agg__agg_kkt_47_19_bills_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,items_price,0.01,agg__agg_kkt_47_19_items_price_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,items_price,0.03,agg__agg_kkt_47_19_items_price_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,items_price,0.05,agg__agg_kkt_47_19_items_price_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,payment_mix,0.01,agg__agg_kkt_47_19_payment_mix_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,payment_mix,0.03,agg__agg_kkt_47_19_payment_mix_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,payment_mix,0.05,agg__agg_kkt_47_19_payment_mix_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,temporal,0.01,agg__agg_kkt_47_19_temporal_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,temporal,0.03,agg__agg_kkt_47_19_temporal_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,temporal,0.05,agg__agg_kkt_47_19_temporal_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,benford,0.01,agg__agg_kkt_47_19_benford_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,benford,0.03,agg__agg_kkt_47_19_benford_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,benford,0.05,agg__agg_kkt_47_19_benford_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,cross_corr,0.01,agg__agg_kkt_47_19_cross_corr_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,cross_corr,0.03,agg__agg_kkt_47_19_cross_corr_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,cross_corr,0.05,agg__agg_kkt_47_19_cross_corr_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,shape_complexity,0.01,agg__agg_kkt_47_19_shape_complexity_contam_0.01.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,shape_complexity,0.03,agg__agg_kkt_47_19_shape_complexity_contam_0.03.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,shape_complexity,0.05,agg__agg_kkt_47_19_shape_complexity_contam_0.05.json,True,skipped_no_features,,False,False,False,,,
agg_kkt_level,agg_kkt_47_19,non_temporal,0.01,agg__agg_kkt_47_19_non_temporal_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,non_temporal,0.03,agg__agg_kkt_47_19_non_temporal_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,non_temporal,0.05,agg__agg_kkt_47_19_non_temporal_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.05__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,simple_core,0.01,agg__agg_kkt_47_19_simple_core_contam_0.01.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.01__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.01__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,simple_core,0.03,agg__agg_kkt_47_19_simple_core_contam_0.03.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.03__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.03__top_anomalies.csv,
agg_kkt_level,agg_kkt_47_19,simple_core,0.05,agg__agg_kkt_47_19_simple_core_contam_0.05.json,True,ok,,True,True,False,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.05__ranked.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.05__top_anomalies.csv,
ts_kkt_day_level,ts_kkt_47_11,all_numeric,0.01,ts__ts_kkt_47_11_all_numeric_contam_0.01.json,True,ok,,True,True,True,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.01__ranked_kkt_days.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.01__top_kkt_days.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.01__device_aggregated_scores.csv
ts_kkt_day_level,ts_kkt_47_11,all_numeric,0.03,ts__ts_kkt_47_11_all_numeric_contam_0.03.json,True,ok,,True,True,True,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.03__ranked_kkt_days.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.03__top_kkt_days.csv,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.03__device_aggregated_scores.csv
