stage,dataset,contamination,base_group,group,top_k,jaccard_with_all_numeric,intersection,base_size,group_size,top_csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,all_numeric,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,bills,200,0.049868766404199474,19,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,items_price,200,0.1834319526627219,62,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,non_temporal,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,payment_mix,200,0.12994350282485875,46,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,simple_core,200,0.44404332129963897,123,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.01,all_numeric,turnover,200,0.3422818791946309,102,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,all_numeric,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,bills,200,0.049868766404199474,19,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,items_price,200,0.1834319526627219,62,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,non_temporal,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,payment_mix,200,0.12994350282485875,46,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,simple_core,200,0.44404332129963897,123,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.03,all_numeric,turnover,200,0.3422818791946309,102,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,all_numeric,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_all_numeric_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,bills,200,0.049868766404199474,19,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_bills_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,items_price,200,0.1834319526627219,62,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_items_price_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,non_temporal,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_non_temporal_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,payment_mix,200,0.12994350282485875,46,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_payment_mix_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,simple_core,200,0.44404332129963897,123,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_simple_core_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_11,0.05,all_numeric,turnover,200,0.3422818791946309,102,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_11_turnover_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,all_numeric,200,1.0,154,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,bills,200,0.019867549668874173,6,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,items_price,200,0.38738738738738737,86,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,non_temporal,200,1.0,154,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,payment_mix,200,0.5477386934673367,109,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,simple_core,200,0.8224852071005917,139,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.01,all_numeric,turnover,200,0.6470588235294118,121,154,154,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.01__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,all_numeric,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,bills,200,0.015228426395939087,6,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,items_price,200,0.44404332129963897,123,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,non_temporal,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,payment_mix,200,0.5686274509803921,145,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,simple_core,200,0.8099547511312217,179,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.03,all_numeric,turnover,200,0.6597510373443983,159,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.03__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,all_numeric,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_all_numeric_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,bills,200,0.015228426395939087,6,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_bills_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,items_price,200,0.44404332129963897,123,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_items_price_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,non_temporal,200,1.0,200,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_non_temporal_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,payment_mix,200,0.5686274509803921,145,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_payment_mix_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,simple_core,200,0.8099547511312217,179,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_simple_core_contam_0.05__top_anomalies.csv
agg_kkt_level,agg_kkt_47_19,0.05,all_numeric,turnover,200,0.6597510373443983,159,200,200,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\agg__agg_kkt_47_19_turnover_contam_0.05__top_anomalies.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,all_numeric,200,1.0,60,60,60,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,bills_items,200,0.0,0,60,70,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_bills_items_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,core_daily,200,0.0,0,60,37,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_core_daily_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,payment_mix,200,0.0,0,60,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_payment_mix_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,peer_deviation,200,0.0,0,60,25,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_peer_deviation_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,rolling_deviation,200,0.0,0,60,94,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_rolling_deviation_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.01,all_numeric,turnover,200,0.0,0,60,83,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_turnover_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,all_numeric,200,1.0,60,60,60,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,bills_items,200,0.0,0,60,70,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_bills_items_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,core_daily,200,0.0,0,60,37,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_core_daily_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,payment_mix,200,0.0,0,60,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_payment_mix_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,peer_deviation,200,0.0,0,60,25,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_peer_deviation_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,rolling_deviation,200,0.0,0,60,94,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_rolling_deviation_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.03,all_numeric,turnover,200,0.0,0,60,83,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_turnover_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,all_numeric,200,1.0,60,60,60,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_all_numeric_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,bills_items,200,0.0,0,60,70,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_bills_items_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,core_daily,200,0.0,0,60,37,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_core_daily_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,payment_mix,200,0.0,0,60,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_payment_mix_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,peer_deviation,200,0.0,0,60,25,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_peer_deviation_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,rolling_deviation,200,0.0,0,60,94,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_rolling_deviation_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_11,0.05,all_numeric,turnover,200,0.0,0,60,83,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_11_turnover_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,all_numeric,200,1.0,82,82,82,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_all_numeric_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,bills_items,200,0.0,0,82,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_bills_items_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,core_daily,200,0.009259259259259259,1,82,27,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_core_daily_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,payment_mix,200,0.03787878787878788,5,82,55,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_payment_mix_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,peer_deviation,200,0.00909090909090909,1,82,29,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_peer_deviation_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,rolling_deviation,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_rolling_deviation_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.01,all_numeric,turnover,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_turnover_contam_0.01__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,all_numeric,200,1.0,82,82,82,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_all_numeric_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,bills_items,200,0.0,0,82,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_bills_items_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,core_daily,200,0.009259259259259259,1,82,27,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_core_daily_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,payment_mix,200,0.03787878787878788,5,82,55,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_payment_mix_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,peer_deviation,200,0.00909090909090909,1,82,29,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_peer_deviation_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,rolling_deviation,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_rolling_deviation_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.03,all_numeric,turnover,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_turnover_contam_0.03__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,all_numeric,200,1.0,82,82,82,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_all_numeric_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,bills_items,200,0.0,0,82,41,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_bills_items_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,core_daily,200,0.009259259259259259,1,82,27,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_core_daily_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,payment_mix,200,0.03787878787878788,5,82,55,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_payment_mix_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,peer_deviation,200,0.00909090909090909,1,82,29,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_peer_deviation_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,rolling_deviation,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_rolling_deviation_contam_0.05__top_kkt_days.csv
ts_kkt_day_level,ts_kkt_47_19,0.05,all_numeric,turnover,200,0.005681818181818182,1,82,95,C:\Users\ivan\WORK\workshops\ICDM\Ablation\kkt_anomaly_outputs\results_csv\ts__ts_kkt_47_19_turnover_contam_0.05__top_kkt_days.csv
